The Kuala Lumpur Major,1883502,Dmitriy ''Nukem'' Shishkov,1st
The Chongqing Major,1883502,Dmitriy ''Nukem'' Shishkov,2nd
DreamLeague Season 11,1883502,Dmitriy ''Nukem'' Shishkov,2nd
MDL Disneyland? Paris Major,1883502,Dmitriy ''Nukem'' Shishkov,7-8th
EPICENTER Major,1883502,Dmitriy ''Nukem'' Shishkov,3rd
The International 2019,1883502,Dmitriy ''Nukem'' Shishkov,9-12th
EPICENTER XL,36,Dmitry ''Dakota'' Shymko ,11-12th
China Dota2 Supermajor,36,Dmitry ''Dakota'' Shymko ,13-16th
DreamLeague Season 11,36,Dmitry ''Dakota'' Shymko ,13-16th
The International 2019,36,Dmitry ''Dakota'' Shymko ,13-16th
EPICENTER Major,6209804,Du ''Monet'' Peng ,9-12th
The International 2019,6209804,Du ''Monet'' Peng ,7-8th
DreamLeague Season 11,36,Evgeniy ''Blizzy'' Ree ,13-16th
The International 2019,36,Evgeniy ''Blizzy'' Ree ,4th
ESL One Birmingham 2018,350190,Eric ''ReiNNNN'' Khor ,13-16th
The International 2018,350190,Eric ''ReiNNNN'' Khor ,7-8th
The Kuala Lumpur Major,350190,Eric ''ReiNNNN'' Khor ,5-6th
The Chongqing Major,350190,Eric ''ReiNNNN'' Khor ,3rd
DreamLeague Season 11,350190,Eric ''ReiNNNN'' Khor ,13-16th
MDL Disneyland? Paris Major,350190,Eric ''ReiNNNN'' Khor ,13-16th
EPICENTER Major,350190,Eric ''ReiNNNN'' Khor ,13-16th
The International 2019,350190,Eric ''ReiNNNN'' Khor ,13-16th
EPICENTER Major,6209804,Gao ''Setsu'' Zhenxiong,9-12th
The International 2019,6209804,Gao ''Setsu'' Zhenxiong,7-8th
The Chongqing Major,7439348,Gregory ''WhatIsHip'' Laird ,9-12th
DreamLeague Season 11,7439348,Gregory ''WhatIsHip'' Laird ,9-12th
MDL Disneyland? Paris Major,7439348,Gregory ''WhatIsHip'' Laird ,13-16th
The International 2019,7439348,Gregory ''WhatIsHip'' Laird ,17-18th
ESL One Birmingham 2018,39,Grant ''GranDGranT'' Harris ,10-12th
China Dota2 Supermajor,39,Grant ''GranDGranT'' Harris ,9-12th
The International 2018,39,Grant ''GranDGranT'' Harris ,3rd
The Kuala Lumpur Major,39,Grant ''GranDGranT'' Harris ,3rd
The Chongqing Major,39,Grant ''GranDGranT'' Harris ,3rd
DreamLeague Season 11,39,Grant ''GranDGranT'' Harris ,7-8th
MDL Disneyland? Paris Major,39,Grant ''GranDGranT'' Harris ,3rd
EPICENTER Major,39,Grant ''GranDGranT'' Harris ,13-16th
The International 2019,39,Grant ''GranDGranT'' Harris ,5-6th
EPICENTER XL,15,Gui ''Tol'' Xulong ,1st
MDL Changsha Major,15,Gui ''Tol'' Xulong ,1st
China Dota2 Supermajor,15,Gui ''Tol'' Xulong ,3rd
The International 2018,15,Gui ''Tol'' Xulong ,2nd
The Kuala Lumpur Major,15,Gui ''Tol'' Xulong ,5-6th
The Chongqing Major,15,Gui ''Tol'' Xulong ,4th
DreamLeague Season 11,15,Gui ''Tol'' Xulong ,5-6th
MDL Disneyland? Paris Major,15,Gui ''Tol'' Xulong ,4th
EPICENTER Major,15,Gui ''Tol'' Xulong ,5-6th
The International 2019,15,Gui ''Tol'' Xulong ,3rd
EPICENTER XL,3215183,Gustav ''s4'' Magnusson,5-6th
MDL Changsha Major,3215183,Gustav ''s4'' Magnusson,7-8th
ESL One Birmingham 2018,3215183,Gustav ''s4'' Magnusson,5-6th
China Dota2 Supermajor,39,Gustav ''s4'' Magnusson,9-12th
The International 2018,39,Gustav ''s4'' Magnusson,3rd
The Kuala Lumpur Major,39,Gustav ''s4'' Magnusson,3rd
The Chongqing Major,39,Gustav ''s4'' Magnusson,3rd
DreamLeague Season 11,39,Gustav ''s4'' Magnusson,7-8th
MDL Disneyland? Paris Major,39,Gustav ''s4'' Magnusson,3rd
EPICENTER Major,39,Gustav ''s4'' Magnusson,13-16th
The International 2019,39,Gustav ''s4'' Magnusson,5-6th
The Kuala Lumpur Major,111474,Henrik ''AdmiralBulldog'' Ahnberg ,9-12th
The Chongqing Major,111474,Henrik ''AdmiralBulldog'' Ahnberg ,5-6th
EPICENTER Major,111474,Henrik ''AdmiralBulldog'' Ahnberg ,13-16th
The International 2019,111474,Henrik ''AdmiralBulldog'' Ahnberg ,13-16th
The Kuala Lumpur Major,5110520,Hicham Chahine ,4th
DreamLeague Season 11,5110520,Hicham Chahine ,9-12th
MDL Disneyland? Paris Major,5110520,Hicham Chahine ,5-6th
The International 2019,5110520,Hicham Chahine ,17-18th
EPICENTER XL,1375614,Hu ''Kaka'' Liangzhi ,9-10th
MDL Changsha Major,1375614,Hu ''Kaka'' Liangzhi ,4th
ESL One Birmingham 2018,1375614,Hu ''Kaka'' Liangzhi ,10-12th
China Dota2 Supermajor,1375614,Hu ''Kaka'' Liangzhi ,7-8th
The International 2018,1375614,Hu ''Kaka'' Liangzhi ,13-16th
DreamLeague Season 11,2626685,Hu ''Kaka'' Liangzhi ,5-6th
MDL Disneyland? Paris Major,2626685,Hu ''Kaka'' Liangzhi ,9-12th
The International 2019,2626685,Hu ''Kaka'' Liangzhi ,13-16th
DreamLeague Season 11,36,Idan ''MagicaL'' Vardanian ,13-16th
The International 2019,36,Idan ''MagicaL'' Vardanian ,13-16th
EPICENTER XL,36,Igor ''Caff'' Sydorenko ,11-12th
China Dota2 Supermajor,36,Igor ''Caff'' Sydorenko ,13-16th
DreamLeague Season 11,36,Igor ''Caff'' Sydorenko ,13-16th
The International 2019,36,Igor ''Caff'' Sydorenko ,13-16th
EPICENTER XL,2163,Ivan ''MinD_ContRoL'' Ivanov ,2nd
ESL One Birmingham 2018,2163,Ivan ''MinD_ContRoL'' Ivanov ,7-9th
China Dota2 Supermajor,2163,Ivan ''MinD_ContRoL'' Ivanov ,1st
The International 2018,2163,Ivan ''MinD_ContRoL'' Ivanov ,4th
The Chongqing Major,2163,Ivan ''MinD_ContRoL'' Ivanov ,7-8th
DreamLeague Season 11,2163,Ivan ''MinD_ContRoL'' Ivanov ,13-16th
MDL Disneyland? Paris Major,2163,Ivan ''MinD_ContRoL'' Ivanov ,2nd
EPICENTER Major,2163,Ivan ''MinD_ContRoL'' Ivanov ,2nd
The International 2019,2163,Ivan ''MinD_ContRoL'' Ivanov ,2nd
The Chongqing Major,7439348,Jared ''pandaeg0'' Fletcher ,9-12th
DreamLeague Season 11,7439348,Jared ''pandaeg0'' Fletcher ,9-12th
MDL Disneyland? Paris Major,7439348,Jared ''pandaeg0'' Fletcher ,13-16th
The International 2019,7439348,Jared ''pandaeg0'' Fletcher ,17-18th
EPICENTER XL,3215183,Jesse ''JerAx'' Vainikka ,5-6th
MDL Changsha Major,3215183,Jesse ''JerAx'' Vainikka ,7-8th
ESL One Birmingham 2018,3215183,Jesse ''JerAx'' Vainikka ,5-6th
The International 2018,3215183,Jesse ''JerAx'' Vainikka ,1st
MDL Disneyland? Paris Major,3215183,Jesse ''JerAx'' Vainikka ,5-6th
EPICENTER Major,3215183,Jesse ''JerAx'' Vainikka ,7-8th
The International 2019,3215183,Jesse ''JerAx'' Vainikka ,1st
EPICENTER XL,15,Jian Wei ''xNova'' Yap,1st
MDL Changsha Major,15,Jian Wei ''xNova'' Yap,1st
China Dota2 Supermajor,15,Jian Wei ''xNova'' Yap,3rd
The International 2018,15,Jian Wei ''xNova'' Yap,2nd
The Kuala Lumpur Major,15,Jian Wei ''xNova'' Yap,5-6th
The Chongqing Major,15,Jian Wei ''xNova'' Yap,4th
DreamLeague Season 11,15,Jian Wei ''xNova'' Yap,5-6th
MDL Disneyland? Paris Major,15,Jian Wei ''xNova'' Yap,4th
EPICENTER Major,15,Jian Wei ''xNova'' Yap,5-6th
The International 2019,15,Jian Wei ''xNova'' Yap,3rd
The International 2019,1375614,Jingjun ''Sneyking'' Wu ,9-12th
The Kuala Lumpur Major,111474,Joakim ''Akke'' Akterhall ,9-12th
The Chongqing Major,111474,Joakim ''Akke'' Akterhall ,13-16th
EPICENTER Major,111474,Joakim ''Akke'' Akterhall ,5-6th
The International 2019,111474,Joakim ''Akke'' Akterhall ,13-16th
EPICENTER XL,3215183,Johan ''N0tail'' Sundstein ,5-6th
MDL Changsha Major,3215183,Johan ''N0tail'' Sundstein ,7-8th
ESL One Birmingham 2018,3215183,Johan ''N0tail'' Sundstein ,5-6th
The International 2018,3215183,Johan ''N0tail'' Sundstein ,1st
MDL Disneyland? Paris Major,3215183,Johan ''N0tail'' Sundstein ,5-6th
The International 2019,3215183,Johan ''N0tail'' Sundstein ,1st
ESL One Birmingham 2018,350190,Johan ''pieliedie'' ?str?m ,4th
The International 2018,350190,Johan ''pieliedie'' ?str?m ,13-16th
DreamLeague Season 11,mineski,Johan ''pieliedie'' ?str?m ,9-12th
MDL Disneyland? Paris Major,mineski,Johan ''pieliedie'' ?str?m ,9-12th
The International 2019,1375614,Johan ''pieliedie'' ?str?m ,9-12th
The Chongqing Major,350190,John Paolo ''Sandata'' Bago Gonzales ,5-6th
DreamLeague Season 11,350190,John Paolo ''Sandata'' Bago Gonzales ,3rd
MDL Disneyland? Paris Major,350190,John Paolo ''Sandata'' Bago Gonzales ,13-16th
EPICENTER Major,350190,John Paolo ''Sandata'' Bago Gonzales ,13-16th
The International 2019,350190,John Paolo ''Sandata'' Bago Gonzales ,13-16th
EPICENTER XL,1838315,John Yao,7-8th
MDL Changsha Major,1838315,John Yao,5-6th
China Dota2 Supermajor,1838315,John Yao,4th
The International 2018,1838315,John Yao,5-6th
The Kuala Lumpur Major,1838315,John Yao,2nd
The Chongqing Major,1838315,John Yao,1st
DreamLeague Season 11,1838315,John Yao,4th
MDL Disneyland? Paris Major,1838315,John Yao,1st
EPICENTER Major,1838315,John Yao,9-12th
The International 2019,1838315,John Yao,4th
The Kuala Lumpur Major,111474,Jonathan ''Loda'' Berg ,9-12th
The Chongqing Major,111474,Jonathan ''Loda'' Berg ,13-16th
EPICENTER Major,111474,Jonathan ''Loda'' Berg ,5-6th
The International 2019,111474,Jonathan ''Loda'' Berg ,13-16th
MDL Changsha Major,2672298,Jose ''Raylock'' Gonzalez ,11-12th
China Dota2 Supermajor,2672298,Jose ''Raylock'' Gonzalez ,13-16th
EPICENTER Major,2672298,Jose ''Raylock'' Gonzalez ,13-16th
The International 2019,2672298,Jose ''Raylock'' Gonzalez ,7-8th
MDL Changsha Major,2672298,Josue ''Bleu'' Ferrando ,11-12th
China Dota2 Supermajor,2672298,Josue ''Bleu'' Ferrando ,13-16th
EPICENTER Major,2672298,Josue ''Bleu'' Ferrando ,13-16th
The International 2019,2672298,Josue ''Bleu'' Ferrando ,7-8th
EPICENTER XL,mineski,Kam ''Moon'' Boon Seng,5-6th
MDL Changsha Major,mineski,Kam ''Moon'' Boon Seng,5-6th
ESL One Birmingham 2018,mineski,Kam ''Moon'' Boon Seng,5-6th
China Dota2 Supermajor,mineski,Kam ''Moon'' Boon Seng,9-12th
The International 2018,mineski,Kam ''Moon'' Boon Seng,9-12th
DreamLeague Season 11,mineski,Kam ''Moon'' Boon Seng,9-12th
MDL Disneyland? Paris Major,mineski,Kam ''Moon'' Boon Seng,9-12th
The International 2019,mineski,Kam ''Moon'' Boon Seng,9-12th
ESL One Birmingham 2018,39,Kanishka ''BuLba'' Sosale ,10-12th
China Dota2 Supermajor,39,Kanishka ''BuLba'' Sosale ,9-12th
The International 2018,39,Kanishka ''BuLba'' Sosale ,3rd
The Kuala Lumpur Major,39,Kanishka ''BuLba'' Sosale ,3rd
The Chongqing Major,39,Kanishka ''BuLba'' Sosale ,3rd
DreamLeague Season 11,39,Kanishka ''BuLba'' Sosale ,7-8th
MDL Disneyland? Paris Major,39,Kanishka ''BuLba'' Sosale ,3rd
EPICENTER Major,39,Kanishka ''BuLba'' Sosale ,13-16th
The International 2019,39,Kanishka ''BuLba'' Sosale ,5-6th
The Kuala Lumpur Major,111474,Kelly Ong ''kellymilkies'' Xiao Wei ,9-12th
The Chongqing Major,111474,Kelly Ong ''kellymilkies'' Xiao Wei ,13-16th
EPICENTER Major,111474,Kelly Ong ''kellymilkies'' Xiao Wei ,5-6th
The International 2019,111474,Kelly Ong ''kellymilkies'' Xiao Wei ,13-16th
The Kuala Lumpur Major,350190,Kim ''DuBu'' Doo-young ,7-8th
The Chongqing Major,350190,Kim ''DuBu'' Doo-young ,5-6th
DreamLeague Season 11,350190,Kim ''DuBu'' Doo-young ,3rd
MDL Disneyland? Paris Major,350190,Kim ''DuBu'' Doo-young ,13-16th
EPICENTER Major,350190,Kim ''DuBu'' Doo-young ,13-16th
The International 2019,350190,Kim ''DuBu'' Doo-young ,13-16th
The Kuala Lumpur Major,2108395,Kim ''Gabbi'' Villafuerte ,5-6th
The Chongqing Major,2108395,Kim ''Gabbi'' Villafuerte ,9-12th
EPICENTER Major,2108395,Kim ''Gabbi'' Villafuerte ,4th
The International 2019,2108395,Kim ''Gabbi'' Villafuerte ,9-12th
EPICENTER XL,2163,Kuro ''KuroKy'' Salehi Takhasomi ,2nd
ESL One Birmingham 2018,2163,Kuro ''KuroKy'' Salehi Takhasomi ,7-9th
China Dota2 Supermajor,2163,Kuro ''KuroKy'' Salehi Takhasomi ,1st
The International 2018,2163,Kuro ''KuroKy'' Salehi Takhasomi ,4th
The Chongqing Major,2163,Kuro ''KuroKy'' Salehi Takhasomi ,7-8th
DreamLeague Season 11,2163,Kuro ''KuroKy'' Salehi Takhasomi ,13-16th
MDL Disneyland? Paris Major,2163,Kuro ''KuroKy'' Salehi Takhasomi ,2nd
EPICENTER Major,2163,Kuro ''KuroKy'' Salehi Takhasomi ,2nd
The International 2019,2163,Kuro ''KuroKy'' Salehi Takhasomi ,2nd
EPICENTER XL,2163,Lasse ''MATUMBAMAN'' Urpalainen ,2nd
ESL One Birmingham 2018,2163,Lasse ''MATUMBAMAN'' Urpalainen ,7-9th
China Dota2 Supermajor,2163,Lasse ''MATUMBAMAN'' Urpalainen ,1st
The International 2018,2163,Lasse ''MATUMBAMAN'' Urpalainen ,4th
